transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,buggna,Polioptila caerulea,Blue-gray Gnatcatcher,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,bawwar,Mniotilta varia,Black-and-white Warbler,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,sumtan,Piranga rubra,Summer Tanager,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,oltpar1,Eupsittula nana,Olive-throated Parakeet,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,sumtan,Piranga rubra,Summer Tanager,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,turvul,Cathartes aura,Turkey Vulture,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,bkcori,Icterus prosthemelas,Black-cowled Oriole,forest
BOSCHIL,BOSCHIL_PC4,17.56340403,-90.19305501,2019,yeteup1,Euphonia hirundinacea,Yellow-throated Euphonia,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,blhtro1,Trogon melanocephalus,Black-headed Trogon,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,indbun,Passerina cyanea,Indigo Bunting,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,whcsee1,Sporophila morelleti,Morelet's Seedeater,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,brnjay,Cyanocorax morio,Brown Jay,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,grhtan1,Eucometis penicillata,Gray-headed Tanager,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,yeofly1,Tolmomyias sulphurescens,Yellow-olive Flatbill,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,gretin1,Tinamus major,Great Tinamou,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,grhtan1,Eucometis penicillata,Gray-headed Tanager,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,sumtan,Piranga rubra,Summer Tanager,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,plaxen2,Xenops mexicanus,Northern Plain-Xenops,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,surfly1,Myiobius sulphureipygius,Sulphur-rumped Flycatcher,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,robgro,Pheucticus ludovicianus,Rose-breasted Grosbeak,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,bncfly,Myiarchus tyrannulus,Brown-crested Flycatcher,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,rudwoo1,Dendrocincla homochroa,Ruddy Woodcreeper,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,relpar10,Amazona autumnalis,Red-lored Amazon,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,phecuc1,Dromococcyx phasianellus,Pheasant Cuckoo,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,brratt1,Attila spadiceus,Bright-rumped Attila,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,meapar,Amazona farinosa,Mealy Amazon,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,slbtin1,Crypturellus boucardi,Slaty-breasted Tinamou,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,spbwre1,Pheugopedius maculipectus,Spot-breasted Wren,forest
BOSCARM1,BOSCARM1_PC1,17.4807987,-90.18075977,2019,greela,Myiopagis viridicata,Greenish Elaenia,forest
